Object	MIR	MIR sep	MAX	MAX sep	RSS	RSS sep	COUP	COUP sep	ACS	ACS sep	H00	H00 sep	ISOY	ISOY sep
169-338	--	--	--	--	--	--	--	--	ACS 4546	0.058	--	--	--	--
170-249	MIR 73	0.261	MAX 119	0.688	RSS 4528	0.125	COUP 844	0.169	ACS 4586	0.078	H00 414	0.203	--	--
173-236	MIR 79	0.330	MAX 128	0.299	RSS 10067	0.100	COUP 876	0.143	ACS 4705	0.661	H00 440	0.138	ISOY J053517.35-052235.8	0.025
173-342	--	--	--	--	RSS 3912	0.248	--	--	ACS 4671	0.075	H00 239	0.090	--	--
175-321	MIR 82	0.050	MAX 130	0.050	RSS 4562	0.164	COUP 885	0.211	ACS 4719	0.046	H00 313	0.184	--	--
177-341	--	--	MAX 135	0.228	RSS 3913	0.207	--	--	ACS 4799	0.215	H00 241	0.195	--	--
178-258	--	--	--	--	RSS 4187	0.216	--	--	ACS 4845	0.239	H00 383	0.343	--	--
180-331	--	--	--	--	RSS 3921	0.286	--	--	ACS 4929	0.076	H00 271	0.255	--	--
189-329	--	--	--	--	RSS 4567	0.138	COUP 1000	0.189	ACS 5138	0.060	H00 282	0.180	ISOY J053518.86-052328.8	0.180
203-3039	--	--	--	--	RSS 6058	0.099	COUP 1096	0.371	ACS 5456	0.101	--	--	ISOY J053520.30-053039.5	0.289
204-330	--	--	MAX 159	0.725	RSS 4572	0.786	--	--	ACS 5475	0.390	H00 279	0.521	ISOY J053520.45-052329.8	0.655
206-043	--	--	--	--	RSS 3077	0.196	COUP 1103	0.272	ACS 5514	0.042	H00 701	0.298	ISOY J053520.57-052043.2	0.289
212-400	--	--	--	--	RSS 3901	0.566	--	--	ACS 5617	0.384	H00 184	0.458	--	--
261-3018	--	--	--	--	RSS 5711	0.345	COUP 1347	0.201	ACS 6473	0.034	--	--	ISOY J053526.18-053018.1	0.307
305-811	--	--	--	--	RSS 2859	0.014	--	--	ACS 7023	0.156	--	--	ISOY J053530.45-052811.3	0.045
308-3036	--	--	--	--	RSS 5708	0.275	COUP 1454	0.341	ACS 7074	0.137	--	--	ISOY J053530.80-053036.2	0.021
344-3020	--	--	--	--	RSS 5829	0.787	--	--	ACS 7458	0.133	--	--	--	--
362-3137	--	--	--	--	RSS 5552	0.500	--	--	ACS 7661	0.025	--	--	ISOY J053536.36-053137.8	0.046
4285-458	--	--	--	--	--	--	--	--	ACS 372	0.091	--	--	ISOY J053428.52-052457.9	0.079
4468-605	--	--	--	--	RSS 3505	0.412	--	--	ACS 1351	0.133	--	--	ISOY J053446.77-052604.8	0.207
4578-251	--	--	--	--	RSS 4724	0.249	COUP 122	0.143	ACS 2106	0.198	--	--	ISOY J053457.79-052251.2	0.196
4582-635	--	--	--	--	RSS 3706	0.102	--	--	ACS 2134	0.101	--	--	--	--
LL1	--	--	--	--	RSS 10145	0.149	COUP 245	0.193	ACS 2682	0.070	--	--	ISOY J053505.64-052519.6	0.264
LL2	--	--	--	--	RSS 5079	0.112	COUP 11	0.449	ACS 973	0.116	--	--	ISOY J053440.87-052242.3	0.249
LL3	--	--	--	--	RSS 5078	0.092	--	--	ACS 967	0.060	--	--	ISOY J053440.82-052638.7	0.214
LL4	--	--	--	--	RSS 6029	0.460	--	--	ACS 1086	0.195	--	--	ISOY J053442.74-052837.6	0.376
LL5	--	--	--	--	RSS 2154	0.254	COUP 1474	0.414	ACS 7161	0.082	--	--	ISOY J053531.41-052816.4	0.156
LL6	--	--	--	--	RSS 5740	0.218	COUP 1499	0.333	ACS 7338	0.104	--	--	ISOY J053532.87-053021.4	0.094
LL7	--	--	--	--	RSS 5534	0.588	--	--	ACS 7547	0.060	--	--	ISOY J053535.14-053349.2	0.126
w000-400	--	--	--	--	RSS 4732	0.186	COUP 137	0.156	ACS 2204	0.181	--	--	ISOY J053459.56-052400.2	0.141
w005-514	--	--	--	--	RSS 4686	0.178	COUP 147	0.234	ACS 2244	0.108	--	--	ISOY J053500.48-052514.3	0.135
w012-407	--	--	--	--	RSS 4734	0.315	COUP 152	0.212	ACS 2313	0.102	--	--	ISOY J053501.18-052406.7	0.109
w014-414	--	--	--	--	RSS 3604	0.226	--	--	ACS 2309	0.056	--	--	--	--
w030-524	--	--	--	--	RSS 3688	0.188	--	--	ACS 2439	0.042	--	--	--	--
w044-527	--	--	--	--	RSS 3721	0.095	--	--	ACS 2543	0.075	--	--	--	--
w069-601	--	--	--	--	RSS 3713	0.030	COUP 279	0.386	ACS 2815	0.039	--	--	ISOY J053506.91-052600.6	0.129
w073-227	--	--	--	--	RSS 4721	0.129	COUP 283	0.184	ACS 2842	0.029	H00 467	0.184	--	--
w266-558	--	--	--	--	RSS 3054	0.327	--	--	ACS 6559	0.454	--	--	--	--
